lot,ad,fiyat,alan,yonetici
2,osmanlı ibrik,3500.0,Hamdullah Bulut,Hamdullah Bulut
3,abn,2500.0,Hamdullah Bulut,Hamdullah Bulut
1,Osmanlı Gümüş Şamdan,1500.0,Açık Artırma Alıcısız Kapandı,Hamdullah Bulut
2,bakır,2000.0,Hamdullah Bulut,Hamdullah Bulut
1,Osmanlı Gümüş Şamdan,2350.0,Açık Artırma Alıcısız Kapandı,Hamdullah Bulut
2,aaaaaaaa,2500.0,Hamdullah Bulut,Hamdullah Bulut
1,Osmanlı Gümüş Şamdan,500.0,Hamdullah Bulut (HEMEN ALDI!),Hamdullah Bulut
3,bbbbbbb,500.0,Hamdullah Bulut (HEMEN ALDI!),Hamdullah Bulut
4,cccccccc,500.0,Hamdullah Bulut (HEMEN ALDI!),Hamdullah Bulut
5,ddddddd,500.0,Hamdullah Bulut (HEMEN ALDI!),Hamdullah Bulut
